userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
243881175,1876,244,69412,1512,9053,890,5027,672152,T
158431312,3641,54,174768,1512,23602,445,7403,673049,F
911251826,2966,608,174994,1512,2532,1780,7019,672449,T
566161874,307,1,6140,1512,4895,1335,7236,672440,F
189016451,3671,112,91775,1512,1397,1335,7660,672124,F
548477536,3806,20,205524,1512,3287,1780,4567,672560,T
893179423,2914,601,93248,1512,4495,2225,5287,672664,T
282432059,479,27,31135,1512,2403,890,9680,672764,F
597039463,3888,56,163296,1512,1409,445,4425,672820,F
041668620,3014,585,90420,1512,2225,445,9675,672847,T
588313156,3034,639,273060,1512,2202,2225,9206,672935,T
715408047,377,51,14703,1512,2654,890,9501,672210,F
506791043,3705,57,188955,1512,1856,1335,9202,672371,F
628122743,3080,629,113960,1512,2188,890,6822,672160,T
718107723,2961,638,210231,1512,2173,1335,5268,672964,T
457353405,3629,105,152418,1512,11014,445,9019,672189,F
490642245,3041,587,215911,1512,3957,445,9374,672857,T
127808309,3829,55,76580,1512,1996,445,6781,672263,F
841967989,3706,82,300186,1512,1555,1335,9548,672782,F
336224675,3829,14,183792,1512,4182,1780,7291,672554,T
012958917,405,10,35235,1512,94411,445,7454,672394,T
373026015,3600,46,309600,1512,2438,890,7016,672349,F
286721072,3121,582,177897,1512,2225,2225,4453,672918,T
544119438,481,47,10582,1512,2503,890,7334,672177,F
503205254,258,6,19608,1512,1526,445,4861,672774,T
439729326,4890,178,366750,1512,2541,1780,6876,672908,F
926902426,1911,229,177723,1512,1846,890,5313,672200,T
213346459,3847,43,111563,1512,15735,1335,5436,672392,F
646281559,3099,599,229326,1512,14061,1335,7119,672626,T
045986764,3844,54,169136,1512,3933,1335,7079,672453,F
986281335,236,41,9676,1512,34783,890,7202,672352,F
489138893,1800,217,149400,1512,4236,445,9882,672541,T
405781440,3860,61,81060,1512,2411,890,6664,672989,F
502278669,283,51,25470,1512,4754,445,4828,672855,T
097691833,4979,182,453089,1512,2351,1780,9767,672900,F
381696520,3837,20,176502,1512,3842,1780,9177,672557,T
204896457,3115,649,149520,1512,1421,445,4915,672473,T
011436729,5036,236,292088,1512,1327,1780,6832,672995,F
032167243,419,29,25140,1512,3337,890,6822,672672,F
794227900,3178,595,158900,1512,12469,1780,5029,672594,T
583010696,373,1,22380,1512,1359,445,9234,672523,T
551978117,4985,192,309070,1512,1335,1780,9840,672752,F
705822900,330,8,19800,1512,2411,445,9345,672911,T
884439705,3709,43,111270,1512,2335,1335,7258,672959,F
349961839,3095,581,123800,1512,2111,1335,7165,672937,T
912666774,3658,62,256060,1512,66088,1335,9066,673105,F
087631350,1953,204,181629,1512,2008,890,7255,672857,T
577859737,4902,218,308826,1512,2532,1780,9189,672746,F
752781301,2030,224,125860,1512,2078,445,9168,672212,T
345791415,3892,90,116760,1512,3572,1335,7623,672199,F
579211190,3182,588,225922,1512,4054,445,5291,672787,T
925263551,3861,43,335907,1512,2217,1335,9285,673087,F
096263822,281,49,16579,1512,10326,890,4805,672429,F
743928976,3101,617,89929,1512,1371,445,9552,673056,T
233691015,380,44,20900,1512,1343,890,7199,672469,F
041761744,3074,606,135256,1512,1825,2225,4569,672169,T
309704845,427,1,27328,1512,2438,890,8882,672813,F
731659897,214,1,10058,1512,1851,445,7640,672199,T
876330479,3126,628,225072,1512,1631,2225,7320,673099,T
526007858,3624,58,333408,1512,1455,890,5093,672438,F
172608053,2935,623,261215,1512,1984,445,8870,672545,T
082861812,224,44,16352,1512,1332,890,9560,672343,F
242743540,3830,50,160860,1512,1455,2225,4898,673060,T
997926940,445,26,27590,1512,2027,1335,9354,672246,F
496808150,1821,207,71019,1512,1471,890,4603,672210,T
923336636,4871,189,482229,1512,1825,1780,6844,672745,F
849755366,3851,16,223358,1512,2377,2225,5043,672699,T
737424583,3642,61,276792,1512,1830,445,7529,672285,F
972672225,1936,232,147136,1512,9863,445,7052,672969,T
401715095,3665,51,252885,1512,1329,445,4990,672176,F
468083149,2995,608,209650,1512,1436,445,9172,672509,T
802707170,3895,61,311600,1512,2873,445,9742,672933,F
048758626,3071,604,73704,1512,1452,1335,7197,672953,T
774357451,216,32,11880,1512,1915,1335,9245,672845,F
432391703,3769,63,90456,1512,10659,445,6937,672306,F
568048535,4011,64,136374,1512,6119,2225,7383,673093,T
173398396,3671,85,124814,1512,1677,445,7669,672536,F
357636163,3014,584,102476,1512,1877,890,4931,672558,T
495547421,3004,587,153204,1512,2873,1780,9834,672438,T
012557036,3838,112,180386,1512,3147,890,9136,672485,F
202949739,3798,52,322830,1512,4029,1780,9805,672246,F
191586470,3034,591,254856,1512,9308,1780,7135,672409,T
169891305,4024,21,358136,1512,1357,2225,4864,672904,T
318306017,3862,92,382338,1512,4654,1780,7276,672686,F
934014298,3175,642,196850,1512,3611,1780,5124,672111,T
292134471,3702,107,162888,1512,2403,445,9481,672704,F
012446041,3868,39,104436,1512,2800,1780,9739,672129,T
868626856,5024,197,226080,1512,1481,1780,9289,672656,F
171122028,403,27,20553,1512,3798,445,7559,672738,T
256849084,3897,56,311760,1512,7867,890,5263,672982,F
992717863,3857,49,358701,1512,1588,1335,5352,672744,F
877473304,1928,202,165808,1512,1623,445,7464,672955,T
259037644,1875,235,155625,1512,2990,890,4648,672297,T
207533247,225,14,22050,1512,1427,1335,9069,672551,F
548317540,3171,626,313929,1512,4291,2225,7186,672556,T
604744591,3817,112,335896,1512,2327,445,8883,672499,F
066421290,322,1,30268,1512,1433,445,9220,672806,T
629236407,436,32,34444,1512,2065,1335,7246,672390,F
437965009,3688,102,339296,1512,2924,1335,9470,672512,F
394331742,431,29,25860,1512,7425,445,9022,672405,T
